Section_Name,Start_Timestamp,End_Timestamp,Mode,Start_sec,End_sec,Duration,Cycle_Onsets,Cycle_Periods,Total_Cycles,total_feet_onsets
Section_1,"00:01:18,940","00:01:52,500",in,78.94,112.5,33.56,"[ 79.85   81.687  83.439  85.098  86.698  88.188  89.676  91.103  92.522
  93.892  95.226  96.554  97.855  99.21  100.396 101.655 102.89  104.079
 105.236 106.343 107.42  108.514 109.583 110.644 111.772]","[1.837 1.752 1.659 1.6   1.49  1.488 1.427 1.419 1.37  1.334 1.328 1.301
 1.355 1.186 1.259 1.235 1.189 1.157 1.107 1.077 1.094 1.069 1.061 1.128]",24,64
Section_2,"00:02:37,940","00:02:51,620",in,157.94,171.62,13.68,"[158.53  159.623 160.676 161.756 162.799 163.855 164.903 165.938 166.964
 167.994 169.028 170.092 171.146]",[1.093 1.053 1.08  1.043 1.056 1.048 1.035 1.026 1.03  1.034 1.064 1.054],12,104
Section_3,"00:03:35,520","00:03:53,840",in,215.52,233.84,18.32,"[216.516 217.57  218.62  219.668 220.711 221.767 222.815 223.842 224.874
 225.911 226.908 227.956 228.964 229.975 230.983 232.007 233.028]","[1.054 1.05  1.048 1.043 1.056 1.048 1.027 1.032 1.037 0.997 1.048 1.008
 1.011 1.008 1.024 1.021]",16,132
Section_4,"00:03:37,020","00:03:51,660",in,217.02,231.66,14.64,"[217.57  218.62  219.668 220.711 221.767 222.815 223.842 224.874 225.911
 226.908 227.956 228.964 229.975 230.983]","[1.05  1.048 1.043 1.056 1.048 1.027 1.032 1.037 0.997 1.048 1.008 1.011
 1.008]",13,156
