Section_Name,Start_Timestamp,End_Timestamp,Mode,Start_sec,End_sec,Duration,Cycle_Onsets,Cycle_Periods,Total_Cycles,total_feet_onsets
Section_1,"00:01:56,280","00:02:10,520",au,116.28,130.52,14.24,"[116.559 117.77  118.943 120.098 121.25  122.407 123.527 124.658 125.786
 126.892 128.02  129.116 130.236]",[1.211 1.173 1.155 1.152 1.157 1.12  1.131 1.128 1.106 1.128 1.096 1.12 ],12,1
Section_2,"00:02:11,960","00:02:27,820",au,131.96,147.82,15.86,"[132.508 133.666 134.775 135.887 136.986 138.09  139.178 140.266 141.346
 142.388 143.468 144.538 145.61  146.7   147.804]","[1.158 1.109 1.112 1.099 1.104 1.088 1.088 1.08  1.042 1.08  1.07  1.072
 1.09  1.104]",14,1
Section_3,"00:02:27,680","00:02:38,700",au,147.68,158.7,11.02,"[147.804 148.911 150.02  151.111 152.178 153.244 154.303 155.34  156.367
 157.415 158.53 ]",[1.107 1.109 1.091 1.067 1.066 1.059 1.037 1.027 1.048 1.115],10,1
Section_4,"00:02:51,860","00:03:06,960",au,171.86,186.96,15.1,"[172.204 173.279 174.324 175.364 176.399 177.436 178.471 179.53  180.538
 181.607 182.639 183.69  184.73  185.804 186.852]","[1.075 1.045 1.04  1.035 1.037 1.035 1.059 1.008 1.069 1.032 1.051 1.04
 1.074 1.048]",14,2
Section_5,"00:03:05,740","00:03:34,440",au,185.74,214.44,28.7,"[185.804 186.852 187.924 188.994 190.074 191.135 192.204 193.29  194.348
 195.404 196.487 197.551 198.62  199.668 200.727 201.759 202.831 203.903
 204.97  205.999 207.036 208.071 209.106 210.159 211.223 212.282 213.33
 214.386]","[1.048 1.072 1.07  1.08  1.061 1.069 1.086 1.058 1.056 1.083 1.064 1.069
 1.048 1.059 1.032 1.072 1.072 1.067 1.029 1.037 1.035 1.035 1.053 1.064
 1.059 1.048 1.056]",27,3
Section_6,"00:03:07,740","00:03:36,360",au,187.74,216.36,28.62,"[187.924 188.994 190.074 191.135 192.204 193.29  194.348 195.404 196.487
 197.551 198.62  199.668 200.727 201.759 202.831 203.903 204.97  205.999
 207.036 208.071 209.106 210.159 211.223 212.282 213.33  214.386 215.455]","[1.07  1.08  1.061 1.069 1.086 1.058 1.056 1.083 1.064 1.069 1.048 1.059
 1.032 1.072 1.072 1.067 1.029 1.037 1.035 1.035 1.053 1.064 1.059 1.048
 1.056 1.069]",26,4
Section_7,"00:03:53,120","00:04:10,680",au,233.12,250.68,17.56,"[234.047 235.087 236.092 237.124 238.127 239.154 240.162 241.167 242.178
 243.172 244.183 245.156 246.148 247.108 248.114 249.132 250.114]","[1.04  1.005 1.032 1.003 1.027 1.008 1.005 1.011 0.994 1.011 0.973 0.992
 0.96  1.006 1.018 0.982]",16,15
Section_8,"00:03:53,740","00:04:10,840",au,233.74,250.84,17.1,"[234.047 235.087 236.092 237.124 238.127 239.154 240.162 241.167 242.178
 243.172 244.183 245.156 246.148 247.108 248.114 249.132 250.114]","[1.04  1.005 1.032 1.003 1.027 1.008 1.005 1.011 0.994 1.011 0.973 0.992
 0.96  1.006 1.018 0.982]",16,26
Section_9,"00:04:10,460","00:04:25,580",au,250.46,265.58,15.12,"[251.103 252.108 253.132 254.108 255.111 256.074 257.047 257.999 258.967
 259.908 260.839 261.807 262.786 263.78  264.772]","[1.005 1.024 0.976 1.003 0.963 0.973 0.952 0.968 0.941 0.931 0.968 0.979
 0.994 0.992]",14,45
