Section_Name,Start_Timestamp,End_Timestamp,Mode,Start_sec,End_sec,Duration,Cycle_Onsets,Cycle_Periods,Total_Cycles,total_feet_onsets
Section_1,"00:01:18,940","00:01:31,460",au,78.94,91.46,12.52,[79.914 81.946 83.887 85.738 87.508 89.215 90.858],[2.032 1.941 1.851 1.77  1.707 1.643],6,2
Section_2,"00:01:28,940","00:01:43,680",au,88.94,103.68,14.74,"[ 89.215  90.858  92.452  94.023  95.498  96.884  98.202  99.476 100.695
 101.978 103.319]",[1.643 1.594 1.571 1.475 1.386 1.318 1.274 1.219 1.283 1.341],10,8
Section_3,"00:02:09,620","00:02:19,000",au,129.62,139.0,9.38,[130.252 131.508 132.724 133.884 135.108 136.298 137.514 138.703],[1.256 1.216 1.16  1.224 1.19  1.216 1.189],7,16
Section_4,"00:02:19,640","00:02:34,960",au,139.64,154.96,15.32,"[139.903 141.084 142.324 143.495 144.679 145.828 147.015 148.196 149.348
 150.492 151.618 152.775 153.908]",[1.181 1.24  1.171 1.184 1.149 1.187 1.181 1.152 1.144 1.126 1.157 1.133],12,16
Section_5,"00:02:40,540","00:03:05,760",au,160.54,185.76,25.22,"[161.108 162.335 163.492 164.623 165.732 166.831 167.908 168.986 170.031
 171.084 172.132 173.228 174.247 175.274 176.287 177.292 178.274 179.268
 180.226 181.234 182.204 183.22  184.188 185.199]","[1.227 1.157 1.131 1.109 1.099 1.077 1.078 1.045 1.053 1.048 1.096 1.019
 1.027 1.013 1.005 0.982 0.994 0.958 1.008 0.97  1.016 0.968 1.011]",23,23
