Section_Name,Start_Timestamp,End_Timestamp,Mode,Start_sec,End_sec,Duration,Cycle_Onsets,Cycle_Periods,Total_Cycles,total_feet_onsets
Section_1,"00:01:21,800","00:01:32,320",au,81.8,92.32,10.52,[81.807 83.279 84.732 86.186 87.634 89.082 90.538 91.97 ],[1.472 1.453 1.454 1.448 1.448 1.456 1.432],7,9
Section_2,"00:01:31,760","00:01:49,900",au,91.76,109.9,18.14,"[ 91.97   93.42   94.892  96.34   97.796  99.231 100.652 102.039 103.383
 104.679 105.962 107.207 108.452 109.788]","[1.45  1.472 1.448 1.456 1.435 1.421 1.387 1.344 1.296 1.283 1.245 1.245
 1.336]",13,9
Section_3,"00:01:49,460","00:02:02,720",au,109.46,122.72,13.26,"[109.788 111.084 112.362 113.663 114.946 116.199 117.452 118.716 119.996
 121.282 122.575]",[1.296 1.278 1.301 1.283 1.253 1.253 1.264 1.28  1.286 1.293],10,9
Section_4,"00:02:03,160","00:02:25,300",au,123.16,145.3,22.14,"[123.844 125.132 126.386 127.644 128.89  130.103 131.295 132.479 133.639
 134.799 135.956 137.124 138.242 139.378 140.479 141.564 142.647 143.727
 144.954]","[1.288 1.254 1.258 1.246 1.213 1.192 1.184 1.16  1.16  1.157 1.168 1.118
 1.136 1.101 1.085 1.083 1.08  1.227]",18,10
Section_5,"00:02:40,100","00:02:49,740",au,160.1,169.74,9.64,[160.242 161.426 162.599 163.732 164.9   166.047 167.18  168.324 169.511],[1.184 1.173 1.133 1.168 1.147 1.133 1.144 1.187],8,13
Section_6,"00:02:51,280","00:03:07,020",au,171.28,187.02,15.74,"[171.866 173.023 174.239 175.391 176.572 177.74  178.914 180.05  181.199
 182.324 183.455 184.626 185.834 187.007]","[1.157 1.216 1.152 1.181 1.168 1.174 1.136 1.149 1.125 1.131 1.171 1.208
 1.173]",13,13
Section_7,"00:03:05,000","00:03:25,360",au,185.0,205.36,20.36,"[185.834 187.007 188.164 189.319 190.468 191.607 192.759 193.903 195.066
 196.191 197.319 198.444 199.58  200.703 201.852 203.044 204.242]","[1.173 1.157 1.155 1.149 1.139 1.152 1.144 1.163 1.125 1.128 1.125 1.136
 1.123 1.149 1.192 1.198]",16,13
Section_8,"00:03:43,280","00:03:56,520",au,223.28,236.52,13.24,"[223.818 225.023 226.207 227.38  228.524 229.655 230.804 231.972 233.143
 234.314 235.476]",[1.205 1.184 1.173 1.144 1.131 1.149 1.168 1.171 1.171 1.162],10,13
Section_9,"00:03:44,220","00:03:58,440",au,224.22,238.44,14.22,"[225.023 226.207 227.38  228.524 229.655 230.804 231.972 233.143 234.314
 235.476 236.623 237.783]",[1.184 1.173 1.144 1.131 1.149 1.168 1.171 1.171 1.162 1.147 1.16 ],11,15
Section_10,"00:04:01,300","00:04:18,960",au,241.3,258.96,17.66,"[242.439 243.604 244.762 245.916 247.055 248.236 249.356 250.519 251.663
 252.783 253.868 254.964 256.039 257.132 258.303]","[1.165 1.158 1.154 1.139 1.181 1.12  1.163 1.144 1.12  1.085 1.096 1.075
 1.093 1.171]",14,62
