Section_Name,Start_Timestamp,End_Timestamp,Mode,Start_sec,End_sec,Duration,Cycle_Onsets,Cycle_Periods,Total_Cycles,total_feet_onsets
Section_1,"00:01:29,780","00:01:50,840",au,89.78,110.84,21.06,"[ 90.703  92.78   94.722  96.575  98.343 100.082 101.783 103.508 105.215
 106.86  108.468 110.127]",[2.077 1.942 1.853 1.768 1.739 1.701 1.725 1.707 1.645 1.608 1.659],11,1
Section_2,"00:01:51,440","00:02:31,060",au,111.44,151.06,39.62,"[111.86  113.65  115.348 117.087 118.767 120.418 122.076 123.764 125.423
 127.09  128.812 130.484 132.116 133.722 135.276 136.82  138.372 139.85
 141.348 142.911 144.5   146.023 147.554 149.108 150.69 ]","[1.79  1.698 1.739 1.68  1.651 1.658 1.688 1.659 1.667 1.722 1.672 1.632
 1.606 1.554 1.544 1.552 1.478 1.498 1.563 1.589 1.523 1.531 1.554 1.582]",24,1
Section_3,"00:02:31,620","00:03:32,520",au,151.62,212.52,60.9,"[152.322 153.967 155.62  157.292 158.895 160.567 162.204 163.844 165.527
 167.186 168.839 170.503 172.154 173.826 175.484 177.135 178.78  180.407
 182.034 183.626 185.26  186.908 188.527 190.135 191.759 193.388 194.999
 196.623 198.231 199.748 201.26  202.743 204.191 205.65  207.188 208.738
 210.271 211.863]","[1.645 1.653 1.672 1.603 1.672 1.637 1.64  1.683 1.659 1.653 1.664 1.651
 1.672 1.658 1.651 1.645 1.627 1.627 1.592 1.634 1.648 1.619 1.608 1.624
 1.629 1.611 1.624 1.608 1.517 1.512 1.483 1.448 1.459 1.538 1.55  1.533
 1.592]",37,1
Section_4,"00:04:15,380","00:04:58,580",au,255.38,298.58,43.2,"[255.959 257.5   259.06  260.524 262.007 263.53  265.023 266.463 267.962
 269.428 270.914 272.33  273.842 275.348 276.834 278.306 279.81  281.327
 282.826 284.316 285.85  287.383 288.866 290.298 291.727 293.154 294.559
 295.946 297.386]","[1.541 1.56  1.464 1.483 1.523 1.493 1.44  1.499 1.466 1.486 1.416 1.512
 1.506 1.486 1.472 1.504 1.517 1.499 1.49  1.534 1.533 1.483 1.432 1.429
 1.427 1.405 1.387 1.44 ]",28,2
Section_5,"00:04:58,580","00:05:22,560",au,298.58,322.56,23.98,"[298.82  300.316 301.786 303.284 304.732 306.218 307.684 309.108 310.554
 312.039 313.49  314.932 316.343 317.751 319.156 320.564 321.991]","[1.496 1.47  1.498 1.448 1.486 1.466 1.424 1.446 1.485 1.451 1.442 1.411
 1.408 1.405 1.408 1.427]",16,2
Section_6,"00:05:22,560","00:05:52,140",au,322.56,352.14,29.58,"[323.487 324.975 326.452 327.932 329.378 330.799 332.191 333.559 334.914
 336.33  337.735 339.14  340.572 341.999 343.407 344.874 346.311 347.722
 349.13  350.527 351.93 ]","[1.488 1.477 1.48  1.446 1.421 1.392 1.368 1.355 1.416 1.405 1.405 1.432
 1.427 1.408 1.467 1.437 1.411 1.408 1.397 1.403]",20,2
