Comment,Marker in sec,Selected Onset,taken from drum,deviation from Cycles' marker,IOI,bpm,Smoothed bpm,cpm
,11.129,11.127,Dun,0.0019999999999988916,,,,
,13.706,13.700333333,Dun,0.005666666999999848,2.573333332999999,93.2642487167441,93.2642487167441,23.316062179186027
,16.26,16.263,Dun,0.0030000000000001137,2.562666667000002,93.65244535722516,93.45834703698463,23.41311133930629
,18.728,18.732333333,Dun,0.004333332999998163,2.469333332999998,97.19222463515021,94.70297290303984,24.298056158787553
,21.223,21.223,Dun,0.0,2.4906666669999993,96.35974302778914,95.11716543422716,24.089935756947284
,23.727,23.740333333,Dun,0.013333332999998504,2.517333333,95.3389830634718,95.16152896007608,23.83474576586795
,26.197,26.175,J2,0.021999999999998465,2.434666667000002,98.57612265901196,96.22390374852966,24.64403066475299
,28.646,28.663,J2,0.01699999999999946,2.4879999999999995,96.4630225080386,96.78601917869234,24.11575562700965
,31.105,31.084333333,J2,0.020666667000000416,2.4213333329999998,99.11894274492278,97.17136280064686,24.779735686230694
,33.512,33.487,J2,0.02499999999999858,2.402666667000002,99.8890121947989,97.87721663404879,24.972253048699724
,35.854,35.855000000000004,Dun,0.0010000000000047748,2.368000000000002,101.35135135135125,99.0796902916247,25.337837837837814
,38.179,38.193666667,Dun,0.014666667000000189,2.3386666669999983,102.62257695230586,99.88898115028348,25.655644238076466
,40.51,40.532333333,Dun,0.022333332999998845,2.3386666659999946,102.62257699618684,101.12089204791312,25.65564424904671
,42.897,42.897666667,Dun,0.000666667000004395,2.365333334000006,101.46561440206693,101.59022637934194,25.366403600516733
,45.261,45.239,Dun,0.02200000000000557,2.3413333329999944,102.50569477541393,102.11356289546498,25.626423693853482
,47.548,47.569666667,Dun,0.021666666999998085,2.3306666670000027,102.9748283605584,102.4382582973064,25.7437070901396
,49.898,49.905666667,Dun,0.007666666999995186,2.3359999999999985,102.73972602739732,102.4616881123247,25.68493150684933
,52.174,52.177666666,J2,0.0036666660000008733,2.271999999000002,105.63380286339508,103.06393328576635,26.40845071584877
,54.458,54.455,Dun,0.0030000000000001137,2.277333333999998,105.38641683097597,103.84809377154814,26.346604207743994
,56.696,56.695,Dun,0.0009999999999976694,2.240000000000002,107.14285714285705,104.77552624503679,26.785714285714263
,58.926,58.951,Dun,0.02499999999999858,2.2560000000000002,106.38297872340425,105.45715631760592,26.595744680851062
,61.196,61.175,J2,0.021000000000000796,2.2239999999999966,107.91366906474836,106.49194492507615,26.97841726618709
,63.357,63.364333333,J2,0.007333332999998277,2.1893333330000004,109.62241170974761,107.28966669434665,27.405602927436902
,65.557,65.577666667,Dun,0.020666667000000416,2.213333334000005,108.43373490709803,107.89913030957106,27.108433726774507
,67.76,67.748333333,Dun,0.011666667000000075,2.1706666660000025,110.56511059906778,108.58358100081321,27.641277649766945
,69.899,69.903,J2,0.0040000000000048885,2.1546666670000008,111.38613859662958,109.58421297545826,27.846534649157395
,71.964,71.988333333,Dun,0.02433333300000129,2.085333332999994,115.08951408489315,111.01938197948724,28.77237852122329
,74.046,74.063,J2,0.016999999999995907,2.0746666670000025,115.6812339145755,112.2311464204528,28.920308478643875
,76.047,76.047,Dun,0.0,1.9839999999999947,120.9677419354842,114.73794782613004,30.24193548387105
,78.01,78.015,Dun,0.0049999999999954525,1.9680000000000035,121.95121951219491,117.01516960875547,30.487804878048728
,80.002,79.999,J2,0.0030000000000001137,1.9839999999999947,120.9677419354842,118.93149027652639,30.24193548387105
,81.886,81.900333333,Dun,0.014333333000010384,1.9013333330000108,126.22720899828596,121.15902925920496,31.55680224957149
,83.829,83.833666666,J2,0.004666666000005648,1.933333332999993,124.1379310558863,122.85036868746711,31.034482763971575
,85.671,85.703,Dun,0.031999999999996476,1.8693333340000038,128.38801707261456,124.33442371489318,32.09700426815364
,87.545,87.575,Dun,0.030000000000001137,1.8719999999999999,128.2051282051282,125.58520545347986,32.05128205128205
,89.463,89.455,Dun,0.007999999999995566,1.8799999999999955,127.65957446808541,126.92357196000007,31.914893617021352
,91.34,91.356333333,J2,0.016333332999991512,1.9013333329999966,126.2272089982869,126.92357196000027,31.556802249571724
,93.166,93.183,Dun,0.017000000000010118,1.826666667000012,131.38686128989204,128.37335800680142,32.84671532247301
,95.045,95.065666667,Dun,0.020666667000000416,1.8826666669999952,127.47875351850621,128.19150529597977,31.869688379626552
,96.92,96.929666667,Dun,0.009666667000004736,1.8640000000000043,128.75536480686665,128.30155261632746,32.18884120171666
,98.731,98.732333333,Dun,0.0013333330000051546,1.8026666659999933,133.13609472379343,129.39685666746905,33.28402368094836
,100.51,100.511,J2,0.000999999999990564,1.778666666999996,134.93253370784655,131.13792160938095,33.733133426961636
,102.25,102.241666667,Dun,0.008333332999995946,1.7306666670000084,138.6748844108863,132.59552623357982,34.66872110272158
,104.01,104.004333333,J2,0.005666666999999848,1.7626666660000012,136.15733741912143,134.33124301370285,34.03933435478036
,105.678,105.663,Dun,0.015000000000000568,1.6586666669999914,144.69453373298015,137.51907679892557,36.17363343324504
,107.329,107.340333333,Dun,0.01133333300001027,1.677333333000007,143.08426075975382,139.50871000611767,35.771065189938454
,109.01,109.007,Dun,0.0030000000000001137,1.6666666670000012,143.99999997119988,141.3222032587883,35.99999999279997
,110.633,110.649666667,Dun,0.01666666700000974,1.6426666670000003,146.10389607424838,142.80800559146073,36.525974018562096
,112.281,112.276333333,Dun,0.004666667000009284,1.6266666659999913,147.54098366702578,145.0847348410416,36.885245916756446
,113.886,113.900333333,Dun,0.014333333000010384,1.6240000000000094,147.78325123152624,145.70247834075082,36.94581280788156
,115.51,115.516333333,Dun,0.006333333000000607,1.6159999999999997,148.51485148514854,146.78859648582974,37.128712871287135
,117.091,117.113666667,Dun,0.022666667000009966,1.5973333339999982,150.25041729956178,148.03867995150216,37.562604324890444
,118.713,118.737666667,Dun,0.024666667000005305,1.6239999999999952,147.78325123152752,148.37455098295797,36.94581280788188
,120.366,120.377666667,Dun,0.011666667000000075,1.6400000000000006,146.3414634146341,148.13464693247963,36.58536585365852
,121.997,122.012333333,J2,0.015333333000000948,1.634666666000001,146.8189233877727,147.94178136372892,36.70473084694318
,123.64,123.639,Dun,0.0010000000000047748,1.626666666999995,147.54098357632404,147.74700778196404,36.88524589408101
,125.295,125.297666666,J2,0.0026666659999960984,1.658666666000002,144.69453382021467,146.63583108609458,36.17363345505367
,126.89,126.895,Dun,0.0049999999999954525,1.5973333339999982,150.25041729956178,147.12926429970145,37.562604324890444
,128.51,128.505666667,Dun,0.004333332999976847,1.610666667000018,149.00662248571717,147.6622961139181,37.25165562142929
,130.077,130.095,Dun,0.018000000000000682,1.5893333329999848,151.0067114410683,148.49985372457718,37.75167786026707
,131.632,131.647,Dun,0.014999999999986358,1.5519999999999925,154.63917525773272,149.91949206085891,38.65979381443318
,133.183,133.19099999999997,J2,0.007999999999981355,1.5439999999999827,155.44041450777377,152.06866819837074,38.86010362694344
,134.675,134.671,Dun,0.004000000000019099,1.4800000000000182,162.16216216216017,154.45101717089042,40.54054054054004
,136.169,136.19099999999997,Dun,0.021999999999962938,1.5199999999999818,157.89473684210716,156.22864004216845,39.47368421052679
,137.724,137.71366666699998,Dun,0.010333333000005496,1.52266666700001,157.6182136257393,157.55094047910262,39.40455340643482
,139.261,139.276333333,Dun,0.015333333000000948,1.5626666660000126,153.58361781296105,157.3398289901483,38.39590445324026
,140.858,140.839,J2,0.019000000000005457,1.562666667000002,153.58361771467906,156.96846963152933,38.395904428669766
,142.36,142.385666666,J2,0.025666665999978022,1.546666665999993,155.1724138599888,155.57051997109508,38.7931034649972
,143.964,143.953666667,Dun,0.010333333000005496,1.5680000010000015,153.0612243921802,154.6038174811097,38.26530609804505
,145.46,145.481666666,J2,0.021666665999987345,1.5279999990000022,157.06806293001813,154.49378734196543,39.26701573250453
,147.04,147.03099999999998,J2,0.009000000000014552,1.5493333339999822,154.90533556157436,154.7581308916881,38.72633389039359
,148.582,148.58833333299998,J2,0.006333332999986396,1.5573333330000025,154.1095890740814,154.8633251635686,38.52739726852035
,150.14,150.15366666699998,Dun,0.013666666999995414,1.5653333340000017,153.32197608461567,154.49323760849396,38.33049402115392
,151.681,151.68966666699998,Dun,0.00866666699997154,1.5360000000000014,156.24999999999986,155.1309927300579,39.062499999999964
,153.217,153.228333333,J2,0.011333332999981849,1.5386666660000117,155.9792028405444,154.91322071216314,38.9948007101361
,154.751,154.767,J2,0.015999999999991132,1.538666667000001,155.9792027391725,155.12799414768276,38.99480068479313
,156.296,156.297666666,J2,0.0016666660000055344,1.530666666000002,156.79442515539807,155.6649613639461,39.19860628884952
,157.781,157.783,J2,0.001999999999981128,1.4853333339999892,161.57989220755059,157.31654458853308,40.394973051887646
,159.26,159.257666667,Dun,0.0023333329999957186,1.4746666670000081,162.7486437245134,158.6162733334358,40.68716093112835
,160.731,160.72699999999998,Dun,0.004000000000019099,1.4693333329999803,163.3393829771663,160.08830936076018,40.83484574429158
,162.17,162.185666667,Dun,0.015666667000004963,1.458666667000017,164.53382080334958,161.7992329735956,41.133455200837396
,163.64,163.644333333,Dun,0.004333333000005268,1.4586666659999992,164.533820916149,163.3471121257458,41.13345522903725
,165.076,165.07633333299998,Dun,0.00033333299998616894,1.431999999999988,167.5977653631299,164.55068675686164,41.899441340782474
,166.545,166.553666667,Dun,0.008666666999999961,1.4773333340000079,162.45487357289855,164.49193272653866,40.61371839322464
,168.01,168.020333333,J2,0.010333333000005496,1.466666666000009,163.6363637107428,164.55132887325396,40.9090909276857
,169.51,169.505666667,Dun,0.004333332999976847,1.4853333340000177,161.5798922075475,163.96054315409353,40.39497305188687
,170.964,170.969666666,J2,0.005666665999996212,1.4639999989999808,163.9344263414874,163.8406642391612,40.98360658537185
,172.431,172.439,Dun,0.007999999999981355,1.469333333999998,163.3393828659987,162.988987739735,40.83484571649967
,173.891,173.90833333299997,J2,0.017333332999982076,1.4693333329999803,163.3393829771663,163.16588962058853,40.83484574429158
,175.34,175.35633333299998,Dun,0.0163333329999773,1.4480000000000075,165.7458563535903,163.58778814915803,41.43646408839758
,176.831,176.809666666,J2,0.0213333339999906,1.4533333330000175,165.1376147167727,164.29933265100308,41.284403679193176
,178.225,178.220333333,Dun,0.004666666999980862,1.4106666670000152,170.1323251015737,165.53891240302033,42.53308127539343
,179.694,179.692333333,J2,0.001666666999994959,1.47199999999998,163.04347826087178,165.47973148199497,40.760869565217945
,181.172,181.167,Dun,0.0049999999999954525,1.4746666670000081,162.7486437245134,165.36158363146438,40.68716093112835
,182.653,182.655,Dun,0.0020000000000095497,1.4879999999999995,161.2903225806452,164.47047687687535,40.3225806451613
,184.166,184.169666667,Dun,0.0036666670000045087,1.5146666670000002,158.4507041904818,163.13309477161718,39.61267604762045
,185.638,185.652333333,Dun,0.014333332999996173,1.482666666,161.8705036699058,161.48073048528357,40.46762591747645
,187.131,187.135,Dun,0.003999999999990678,1.4826666669999895,161.8705035607317,161.24613554525558,40.46762589018292
,188.64,188.633666666,J2,0.006333333999975821,1.4986666660000196,160.142348825684,160.7248765654897,40.035587206421
,190.124,190.100333333,Dun,0.02366666699998632,1.4666666669999984,163.63636359917373,161.1940847691954,40.90909089979343
,191.53,191.527,J2,0.0030000000000143245,1.426666666999978,168.22429902611842,163.14880373632272,42.056074756529604
,192.945,192.932333333,J2,0.012666666999990639,1.4053333330000157,170.77798865530596,164.9303007334028,42.69449716382649
,194.338,194.327,Dun,0.01099999999999568,1.3946666669999956,172.0841299779919,166.9730260168548,43.02103249449797
,195.76,195.753666666,J2,0.006333334000004243,1.4266666659999885,168.2242991440314,168.58941608052427,42.05607478600785
,197.18,197.177666666,J2,0.002333334000013565,1.4240000000000066,168.53932584269586,169.5700085292287,42.134831460673965
