Section_Name,Start_Timestamp,End_Timestamp,Mode,Start_sec,End_sec,Duration,Cycle_Onsets,Cycle_Periods,Total_Cycles,total_feet_onsets
Section_1,"00:01:12,340","00:01:24,300",au,72.34,84.3,11.96,[72.495 73.82  75.09  76.346 77.556 78.802 79.986 81.223 82.396 83.636],[1.325 1.27  1.256 1.21  1.246 1.184 1.237 1.173 1.24 ],9,4
Section_2,"00:01:12,620","00:01:25,920",au,72.62,85.92,13.3,[73.82  75.09  76.346 77.556 78.802 79.986 81.223 82.396 83.636 84.796],[1.27  1.256 1.21  1.246 1.184 1.237 1.173 1.24  1.16 ],9,5
Section_3,"00:01:25,420","00:01:38,320",au,85.42,98.32,12.9,"[86.01  87.194 88.412 89.62  90.778 92.004 93.178 94.319 95.458 96.612
 97.759]",[1.184 1.218 1.208 1.158 1.226 1.174 1.141 1.139 1.154 1.147],10,6
Section_4,"00:01:55,160","00:02:17,040",au,115.16,137.04,21.88,"[116.172 117.255 118.308 119.399 120.466 121.524 122.596 123.65  124.716
 125.764 126.791 127.804 128.831 129.842 130.839 131.882 132.903 133.919
 134.906 135.914 136.924]","[1.083 1.053 1.091 1.067 1.058 1.072 1.054 1.066 1.048 1.027 1.013 1.027
 1.011 0.997 1.043 1.021 1.016 0.987 1.008 1.01 ]",20,10
Section_5,"00:01:57,180","00:02:17,480",au,117.18,137.48,20.3,"[117.255 118.308 119.399 120.466 121.524 122.596 123.65  124.716 125.764
 126.791 127.804 128.831 129.842 130.839 131.882 132.903 133.919 134.906
 135.914 136.924]","[1.053 1.091 1.067 1.058 1.072 1.054 1.066 1.048 1.027 1.013 1.027 1.011
 0.997 1.043 1.021 1.016 0.987 1.008 1.01 ]",19,14
Section_6,"00:02:40,320","00:03:10,320",au,160.32,190.32,30.0,"[161.247 162.268 163.282 164.274 165.266 166.255 167.236 168.236 169.22
 170.22  171.255 172.282 173.292 174.287 175.268 176.252 177.226 178.178
 179.124 180.058 180.996 181.914 182.892 183.823 184.74  185.636 186.538
 187.423 188.33  189.271 190.196]","[1.021 1.014 0.992 0.992 0.989 0.981 1.    0.984 1.    1.035 1.027 1.01
 0.995 0.981 0.984 0.974 0.952 0.946 0.934 0.938 0.918 0.978 0.931 0.917
 0.896 0.902 0.885 0.907 0.941 0.925]",30,37
