Section_Name,Start_Timestamp,End_Timestamp,Mode,Start_sec,End_sec,Duration,Cycle_Onsets,Cycle_Periods,Total_Cycles,total_feet_onsets
Section_1,"00:01:25,400","00:02:17,340",au,85.4,137.34,51.94,"[ 87.204  89.407  91.639  93.884  96.071  98.26  100.375 102.516 104.623
 106.751 108.818 110.916 112.967 115.023 117.004 119.018 121.026 123.034
 124.97  126.796 128.524 130.194 131.802 133.367 134.887 136.458]","[2.203 2.232 2.245 2.187 2.189 2.115 2.141 2.107 2.128 2.067 2.098 2.051
 2.056 1.981 2.014 2.008 2.008 1.936 1.826 1.728 1.67  1.608 1.565 1.52
 1.571]",25,4
Section_2,"00:02:17,340","00:02:45,620",au,137.34,165.62,28.28,"[138.156 139.754 141.311 142.876 144.436 145.972 147.559 149.106 150.647
 152.151 153.687 155.194 156.692 158.138 159.548 160.93  162.26  163.596
 164.959]","[1.598 1.557 1.565 1.56  1.536 1.587 1.547 1.541 1.504 1.536 1.507 1.498
 1.446 1.41  1.382 1.33  1.336 1.363]",18,34
Section_3,"00:02:46,080","00:03:10,400",au,166.08,190.4,24.32,"[166.428 167.938 169.436 170.898 172.306 173.714 175.122 176.511 177.906
 179.271 180.612 181.978 183.29  184.575 185.868 187.188 188.572 189.988]","[1.51  1.498 1.462 1.408 1.408 1.408 1.389 1.395 1.365 1.341 1.366 1.312
 1.285 1.293 1.32  1.384 1.416]",17,41
Section_4,"00:04:01,900","00:04:48,160",au,241.9,288.16,46.26,"[242.54  243.882 245.218 246.554 247.874 249.17  250.49  251.799 253.119
 254.426 255.748 257.002 258.335 259.626 260.94  262.252 263.578 264.916
 266.223 267.538 268.86  270.167 271.474 272.799 274.108 275.474 276.78
 278.135 279.482 280.823 282.146 283.487 284.767 286.039 287.311]","[1.342 1.336 1.336 1.32  1.296 1.32  1.309 1.32  1.307 1.322 1.254 1.333
 1.291 1.314 1.312 1.326 1.338 1.307 1.315 1.322 1.307 1.307 1.325 1.309
 1.366 1.306 1.355 1.347 1.341 1.323 1.341 1.28  1.272 1.272]",34,63
Section_5,"00:04:44,440","00:05:11,580",au,284.44,311.58,27.14,"[284.767 286.039 287.311 288.604 289.874 291.167 292.479 293.762 295.042
 296.335 297.642 298.908 300.215 301.511 302.804 304.103 305.38  306.642
 307.906 309.172 310.468]","[1.272 1.272 1.293 1.27  1.293 1.312 1.283 1.28  1.293 1.307 1.266 1.307
 1.296 1.293 1.299 1.277 1.262 1.264 1.266 1.296]",20,78
Section_6,"00:04:49,260","00:05:15,340",au,289.26,315.34,26.08,"[289.874 291.167 292.479 293.762 295.042 296.335 297.642 298.908 300.215
 301.511 302.804 304.103 305.38  306.642 307.906 309.172 310.468 311.751
 313.031 314.319]","[1.293 1.312 1.283 1.28  1.293 1.307 1.266 1.307 1.296 1.293 1.299 1.277
 1.262 1.264 1.266 1.296 1.283 1.28  1.288]",19,101
