2nd Level m.cycle,J2 Instances,J1 Instances,Dun Instances,Mean J2 Onsets,Mean J1 Onsets,Mean Dun Onsets,Virtual Onset,Parts,Comment,IOI,bpm,Smoothed bpm,cpm
15.121666666,1,1,1,15.121666666,15.100333333,15.137666666,15.119888888333334,1.0,,,,,
17.047,1,1,1,17.052333333,17.028333333,17.047,17.042555555333333,,,1.9226666669999997,124.82662965935741,124.82662965935741,31.206657414839352
18.996333333,1,0,1,19.009666666,,18.996333333,19.0029999995,,,1.960444444166665,122.42121969542364,123.62392467739053,30.60530492385591
20.959,1,1,1,20.959,20.937666666,20.956333333,20.950999999666667,,,1.9480000001666689,123.20328541040341,123.48371158839483,30.800821352600853
22.900333333,1,0,0,22.900333333,,,22.900333333,,,1.9493333333333318,123.11901504787971,122.91450671790226,30.77975376196993
24.849666666,1,0,1,24.841666666,,24.849666666,24.845666666,,,1.9453333330000007,123.37217274218162,123.23149106682156,30.843043185545405
26.788333333,1,0,1,26.788333333,,26.793666666,26.790999999500002,,,1.9453333335000025,123.37217271047173,123.28778683351102,30.843043177617933
28.727,1,1,1,28.727,28.719,28.724333333,28.723444444333335,,,1.932444444833333,124.19503217371881,123.64645920879072,31.048758043429704
30.684333333,1,1,1,30.684333333,30.660333333,30.671,30.67188888866667,,,1.948444444333333,123.17518248877597,123.58079579098883,30.793795622193993
32.625666666,1,0,0,32.625666666,,,32.625666666,,m,1.9537777773333325,122.83894452293885,123.4030530618112,30.70973613073471
34.540333333,1,1,1,34.553666666,34.540333333,34.540333333,34.54477777733334,,,1.9191111113333363,125.05789716013669,123.69067472395051,31.264474290034173
36.508333333,1,0,1,36.508333333,,36.484333333,36.496333333,,,1.9515555556666655,122.97882030727753,123.625220663451,30.744705076819383
38.436333333,1,1,1,38.436333333,38.407,38.441666666,38.428333333000005,,,1.9320000000000022,124.22360248447191,124.08677331729537,31.055900621117978
40.375,1,1,0,40.375,40.353666666,,40.364333333000005,,m,1.936,123.96694214876034,123.72312164683659,30.991735537190085
42.300333333,1,0,1,42.289666666,,42.300333333,42.2949999995,,,1.9306666664999952,124.30939227592481,124.16664563638568,31.077348068981202
44.220333333,1,1,1,44.220333333,44.209666666,44.231,44.22033333299999,,,1.9253333334999922,124.6537396013982,124.3100246753611,31.16343490034955
46.177666666,1,1,1,46.175,46.159,46.177666666,46.17055555533333,,,1.9502222223333376,123.06289880793825,124.00867689508709,30.765724701984563
48.095,1,1,1,48.095,48.092333333,48.116333333,48.101222222,,,1.9306666666666672,124.30939226519334,124.00867689150994,31.077348066298335
50.049666666,1,0,1,50.041666666,,50.049666666,50.045666666,,,1.9444444440000055,123.42857145678333,123.60028750997164,30.857142864195833
51.964333333,1,1,1,51.964333333,51.945666666,51.959,51.956333333,,,1.910666667000001,125.61060709602042,124.44952360599903,31.402651774005104
53.908333333,1,0,1,53.911,,53.908333333,53.9096666665,,,1.953333333499998,122.86689418746882,123.9686909134242,30.716723546867204
55.785666666,1,1,0,55.785666666,55.793666666,,55.789666666,,m,1.8799999995000007,127.65957450203707,125.3790252618421,31.91489362550927
57.697666666,1,0,1,57.697666666,,57.705666666,57.701666666,,,1.911999999999999,125.52301255230132,125.3498270806024,31.38075313807533
59.596333333,1,0,1,59.591,,59.596333333,59.5936666665,,,1.8920000004999977,126.84989425823221,126.67749377085687,31.712473564558053
61.476333333,1,1,1,61.476333333,61.452333333,61.484333333,61.47099999966667,,,1.8773333331666677,127.84090910225854,126.73793863759737,31.960227275564634
63.340333333,1,1,0,63.340333333,63.343,,63.341666666500004,,m,1.870666666833337,128.29650747253214,127.66243694434097,32.074126868133035
65.215,1,1,1,65.209666666,65.185666666,65.215,65.203444444,,,1.861777777499995,128.90904752460483,128.34882136646516,32.22726188115121
67.04966666600001,1,1,1,67.047,67.04966666600001,67.04966666600001,67.04877777733334,,,1.8453333333333433,130.0578034682074,129.0877861551148,32.51445086705185
68.895,1,1,1,68.895,68.876333333,68.916333333,68.89588888866666,,,1.8471111113333194,129.9326275108368,129.63315950121634,32.4831568777092
70.705666666,1,1,1,70.687,70.687,70.705666666,70.69322222199999,,,1.7973333333333272,133.53115727003012,131.17386274969144,33.38278931750753
72.513666666,1,0,1,72.513666666,,72.527,72.520333333,,,1.8271111110000078,131.35490149181135,131.60622875755942,32.83872537295284
74.351,1,1,1,74.351,74.375,74.353666666,74.35988888866666,,,1.8395555556666636,130.46629619893315,131.78411832025822,32.61657404973329
76.185666666,1,0,1,76.17766666600001,,76.185666666,76.18166666600001,,,1.8217777773333523,131.73944867814927,131.1868821229646,32.93486216953732
78.036333333,1,1,1,78.009666666,78.031,78.036333333,78.02566666633334,,,1.844000000333324,130.151843794261,130.78586289044782,32.53796094856525
79.849666666,1,0,0,79.849666666,,,79.849666666,,m,1.8239999996666683,131.5789473924668,131.1567466216257,32.8947368481167
81.687,1,1,1,81.679,81.663,81.687,81.67633333333333,,,1.8266666673333276,131.38686126591762,131.03921748421513,32.846715316479404
83.43900000000001,1,1,1,83.43900000000001,83.428333333,83.457666666,83.44166666633333,,,1.765333333000001,135.9516616570905,132.9724901051583,33.98791541427263
85.097666666,1,1,1,85.097666666,85.108333333,85.116333333,85.107444444,,,1.665777777666662,144.07684099146763,137.13845463815858,36.01921024786691
86.697666666,1,1,1,86.697666666,86.708333333,86.697666666,86.70122222166667,,,1.5937777776666735,150.5856107188076,143.53803778912192,37.6464026797019
88.188333333,1,1,1,88.188333333,88.193666666,88.209666666,88.19722222166668,,,1.4960000000000093,160.42780748663003,151.6967530656351,40.10695187165751
89.676333333,1,1,1,89.676333333,89.649666666,89.689666666,89.67188888833334,,,1.4746666666666641,162.74864376130228,157.92068732224664,40.68716094032557
91.103,1,1,1,91.103,91.105666666,91.127,91.11188888866667,,,1.4400000003333275,166.66666662808709,163.28103929200645,41.66666665702177
92.521666666,1,1,1,92.500333333,92.503,92.521666666,92.508333333,,,1.3964444443333264,171.86505411934084,167.09345483624338,42.96626352983521
93.892333333,1,1,0,93.892333333,93.876333333,,93.884333333,,m,1.3760000000000048,174.41860465116218,170.98344179953006,43.604651162790546
95.225666666,0,0,1,,,95.225666666,95.225666666,,,1.3413333329999944,178.92644139635425,175.07003338895242,44.73161034908856
96.553666666,1,0,1,96.537666666,,96.553666666,96.545666666,,,1.3200000000000074,181.8181818181808,178.3877426218991,45.4545454545452
97.855,0,1,1,,97.833666666,97.855,97.84433333300001,,,1.2986666670000062,184.80492808398142,181.84985043283882,46.201232020995356
99.209666666,0,0,1,,,99.209666666,99.209666666,,,1.3653333329999953,175.78125004291596,180.80145331502604,43.94531251072899
100.396333333,0,1,1,,100.367,100.396333333,100.3816666665,,,1.1720000004999918,204.77815690922577,188.4547783453744,51.19453922730644
101.655,1,1,1,101.639,101.636333333,101.655,101.64344444433334,,,1.2617777778333448,190.20781964643155,190.25574219952443,47.551954911607886
102.889666666,1,0,1,102.868333333,,102.889666666,102.8789999995,,,1.2355555551666555,194.24460437768667,196.410193644448,48.56115109442167
104.079,1,1,1,104.065666666,104.079,104.079,104.07455555533333,,,1.1955555558333373,200.74349437715,195.06530613375605,50.1858735942875
105.236333333,1,1,1,105.212333333,105.209666666,105.236333333,105.21944444399999,,,1.1448888886666566,209.62732923323696,201.53847599602454,52.40683230830924
106.343,1,1,1,106.324333333,106.316333333,106.343,106.32788888866668,,,1.108444444666688,216.51964710975534,208.96349024004743,54.129911777438835
107.420333333,1,1,1,107.401666666,107.412333333,107.420333333,107.411444444,,,1.0835555553333194,221.49302711679798,215.8800011532634,55.373256779199494
108.513666666,1,1,1,108.492333333,108.505666666,108.513666666,108.50388888833334,,,1.0924444443333385,219.69080555529703,219.23449326061677,54.92270138882426
109.583,1,1,1,109.569666666,109.569666666,109.583,109.57411111066666,,,1.070222222333328,224.25249167107125,221.81210811438874,56.063122917767814
110.644333333,1,1,1,110.631,110.633666666,110.644333333,110.636333333,,,1.0622222223333324,225.94142257050842,223.29490659895887,56.485355642627106
111.772333333,1,1,1,111.745666666,111.753666666,111.772333333,111.75722222166667,,,1.12088888866667,214.11578116853937,221.43656513670635,53.52894529213484
112.940333333,1,0,1,112.935,,112.940333333,112.93766666650001,,,1.1804444448333413,203.31325294506672,214.45681889470484,50.82831323626668
114.169666666,0,0,1,,,114.169666666,114.169666666,,,1.2319999994999904,194.80519488425688,204.07807633262098,48.70129872106422
115.367,1,0,1,115.340333333,,115.367,115.3536666665,,,1.1840000005000064,202.7027026171008,200.2737168154748,50.6756756542752
116.559,1,1,1,116.556333333,116.577666666,116.559,116.564333333,,,1.2106666664999892,198.2378854898473,198.58192766373497,49.55947137246182
117.769666666,1,1,1,117.756333333,117.761666666,117.769666666,117.76255555499999,,,1.1982222219999983,200.29673594219182,200.4124413497133,50.074183985547954
118.943,1,1,1,118.943,118.935,118.940333333,118.93944444433333,,,1.1768888893333411,203.92749237011665,200.82070460071859,50.98187309252916
120.097666666,1,1,1,120.081666666,120.111,120.097666666,120.09677777733333,,,1.1573333329999969,207.37327194912882,203.8658334204791,51.843317987282205
121.249666666,1,1,1,121.249666666,121.247,121.249666666,121.24877777733333,,,1.152000000000001,208.33333333333314,206.5446992175262,52.083333333333286
122.407,1,1,1,122.380333333,122.388333333,122.407,122.39188888866666,,,1.1431111113333259,209.95334366058586,208.5533163143493,52.488335915146465
123.527,1,1,1,123.519,123.516333333,123.527,123.52077777766668,,,1.1288888890000237,212.59842517592088,210.2950340566133,53.14960629398022
124.657666666,1,1,1,124.649666666,124.655,124.657666666,124.65411111066668,,,1.133333332999996,211.76470594463743,211.43882492704805,52.94117648615936
125.785666666,1,1,1,125.772333333,125.785666666,125.785666666,125.78122222166667,,,1.1271111109999907,212.93375396421052,212.43229502825625,53.23343849105263
126.892333333,1,1,1,126.881666666,126.887,126.892333333,126.88699999966667,,,1.1057777780000038,217.04180059946836,213.91342016943875,54.26045014986709
128.020333333,1,1,1,127.993666666,128.001666666,128.020333333,128.00522222166668,,,1.1182222220000142,214.6263911396289,214.86731523443595,53.65659778490723
129.116333333,1,1,1,129.10299999999998,129.105666666,129.116333333,129.108333333,,,1.1031111113333054,217.56647860242967,216.41155678050896,54.39161965060742
130.23633333299998,1,1,1,130.20966666599998,130.23366666599998,130.23633333299998,130.22655555499998,,,1.1182222219999858,214.62639113963436,215.60642029389763,53.65659778490859
131.375,1,1,1,131.361666666,131.361666666,131.375,131.36611111066665,,,1.139555555666675,210.6084243164368,214.26709801950028,52.6521060791092
132.508333333,1,1,1,132.500333333,132.503,132.508333333,132.50388888866667,,,1.1377777780000145,210.93749995879858,212.05743847162321,52.734374989699646
133.665666666,0,1,1,,133.68699999999998,133.665666666,133.676333333,,,1.1724444443333368,204.7005307244782,208.74881833323786,51.17513268111955
134.77499999999998,1,1,1,134.756333333,134.783,134.77499999999998,134.7714444443333,,,1.0951111113332956,219.15584411138013,211.59795826488562,54.78896102784503
135.887,1,1,1,135.873666666,135.88433333299997,135.887,135.8816666663333,,,1.1102222220000044,216.1729383939489,213.34310440993576,54.043234598487224
136.985666666,1,1,1,136.96433333299998,136.97766666599998,136.985666666,136.97588888833332,,,1.0942222220000133,219.3338749429977,218.2208858161089,54.83346873574943
138.089666666,1,1,1,138.07899999999998,138.105666666,138.089666666,138.091444444,,,1.115555555666674,215.13944220964603,216.88208518219756,53.78486055241151
139.177666666,1,1,1,139.177666666,139.177666666,139.17499999999998,139.1767777773333,,,1.085333333333324,221.13022113022305,218.5345127609556,55.28255528255576
140.265666666,1,1,1,140.265666666,140.28166666599998,140.26033333299998,140.26922222166664,,,1.0924444443333243,219.6908055552999,218.653489631723,54.922701388824976
141.345666666,1,1,1,141.345666666,141.324333333,141.343,141.33766666633332,,,1.0684444446666816,224.62562391334427,221.8155501996224,56.15640597833607
142.388333333,1,1,1,142.388333333,142.388333333,142.38299999999998,142.38655555533333,,,1.0488888890000112,228.81355929779272,224.37666292214564,57.20338982444818
143.46833333299998,1,1,1,143.46833333299998,143.45233333299998,143.46566666599998,143.46211111066665,,,1.0755555553333238,223.140495913874,225.52655970833698,55.7851239784685
144.53766666599998,1,1,1,144.53766666599998,144.532333333,144.532333333,144.53411111066666,,,1.0720000000000027,223.8805970149248,225.27821740886384,55.9701492537312
145.60966666599998,1,1,1,145.60966666599998,145.60966666599998,145.607,145.60877777733333,,,1.0746666666666727,223.3250620347382,223.44871832117897,55.83126550868455
146.70033333299995,1,1,1,146.70033333299995,146.70833333299998,146.69766666599998,146.70211111066664,,,1.0933333333333053,219.51219512195684,222.23928472387328,54.87804878048921
147.804333333,1,1,1,147.804333333,147.828333333,147.815,147.81588888866665,,,1.1137777780000135,215.4828411381692,219.44003276495474,53.8707102845423
148.91099999999997,1,1,1,148.903,148.921666666,148.91099999999997,148.91188888866665,,,1.0960000000000036,218.9781021897803,217.99104614996875,54.74452554744507
150.020333333,1,1,1,150.017666666,150.02833333299998,150.020333333,150.02211111066666,,,1.1102222220000044,216.1729383939489,216.87796057396613,54.043234598487224
151.111,1,1,1,151.10299999999998,151.108333333,151.111,151.1074444443333,,,1.0853333336666537,221.1302210623091,218.76042054867943,55.28255526557727
152.177666666,1,1,1,152.16699999999997,152.16966666599998,152.177666666,152.17144444399997,,,1.0639999996666631,225.56390984510222,220.95568976712005,56.390977461275554
