2nd Level m.cycle,J2 Instances,J1 Instances,Dun Instances,Mean J2 Onsets,Mean J1 Onsets,Mean Dun Onsets,Virtual Onset,Parts,Comment,IOI,bpm,Smoothed bpm,cpm
1.964333333,1,0,1,1.972333333,,1.964333333,1.968333333,1.0,,,,,
3.940333333,1,1,1,3.940333333,3.932333333,3.961666666,3.9447777773333335,,,1.9764444443333335,121.430177654679,121.430177654679,30.35754441366975
5.897666666,1,1,1,5.905666666,5.892333333,5.897666666,5.898555555000001,,,1.9537777776666672,122.83894450198126,122.13456107833014,30.709736125495315
7.796333333,1,1,1,7.796333333,7.780333333,7.812333333,7.796333333,,,1.8977777779999991,126.4637002193837,123.57760745868131,31.615925054845924
9.708333333,1,1,1,9.716333333,9.684333333,9.708333333,9.702999999666666,,,1.9066666666666663,125.8741258741259,125.05892353183027,31.468531468531474
11.588333333,1,1,1,11.580333333,11.561666666,11.588333333,11.576777777333334,,,1.8737777776666675,128.0834914686956,126.80710585406841,32.0208728671739
13.447,1,1,1,13.447,13.433666666,13.463,13.447888888666666,,,1.8711111113333327,128.2660332389233,127.40788352724826,32.06650830973083
15.337666666,1,0,0,15.337666666,,,15.337666666,,m,1.8897777773333342,126.99905929609568,127.78286133457154,31.74976482402392
17.207,1,1,1,17.209666666,17.183,17.207,17.199888888666667,,,1.8622222226666665,128.87828159215317,128.04779137572405,32.21957039803829
19.105666666,1,0,1,19.092333333,,19.105666666,19.098999999500002,,,1.899111110833335,126.37491225812869,127.41741771545918,31.593728064532172
20.977666666,1,1,1,20.964333333,20.948333333,20.977666666,20.963444444,,,1.8644444444999984,128.7246722250083,127.99262202509674,32.181168056252076
22.841666666,1,1,1,22.841666666,22.839,22.868333333,22.84966666633333,,,1.8862222223333305,127.23845428091217,127.44601292134972,31.80961357022804
24.716333333,1,1,1,24.716333333,24.716333333,24.729666666,24.720777777333335,,,1.8711111110000047,128.2660332617732,128.07638658923122,32.0665083154433
26.596333333,1,1,1,26.596333333,26.585666666,26.617666666,26.599888888333336,,,1.8791111110000003,127.71996216460026,127.74148323576186,31.929990541150065
28.481666666,1,1,1,28.481666666,28.479,28.500333333,28.486999999666665,,,1.8871111113333292,127.17852094592838,127.72150545743393,31.794630236482096
30.401666666,1,1,1,30.401666666,30.383,30.380333333,30.388333333000002,,,1.901333333333337,126.22720897615683,127.0418973622285,31.556802244039208
32.255,1,1,1,32.279,32.228333333,32.255,32.25411111100001,,,1.8657777780000053,128.63268221431207,127.3461373787991,32.15817055357802
34.111,1,1,1,34.111,34.116333333,34.137666666,34.12166666633333,,,1.8675555553333254,128.5102332375672,127.79004147601204,32.1275583093918
35.959,1,1,1,35.959,35.972333333,35.977666666,35.96966666633333,,,1.847999999999999,129.87012987012994,129.00434844066976,32.467532467532486
37.777666666,1,1,1,37.751,37.777666666,37.777666666,37.768777777333334,,,1.799111111000002,133.39920949440446,130.5931908673672,33.349802373601115
39.585666666,1,1,1,39.585666666,39.575,39.599,39.58655555533333,,,1.8177777779999928,132.02933983716073,131.76622640056505,33.00733495929018
41.361666666,1,1,1,41.361666666,41.356333333,41.367,41.36166666633333,,,1.775111111000001,135.20280421477224,133.54378451544582,33.80070105369306
43.076333333,0,1,1,,43.057666666,43.076333333,43.0669999995,,,1.7053333331666707,140.7349491928002,135.98903108157774,35.18373729820005
44.671,0,0,1,,,44.671,44.671,,,1.604000000500001,149.62593511545316,141.85456284100857,37.40648377886329
46.180333333,0,1,1,,46.169666666,46.180333333,46.1749999995,,,1.503999999500003,159.57446813815608,149.9784508154698,39.89361703453902
47.660333333,1,1,1,47.636333333,47.649666666,47.660333333,47.64877777733333,,,1.4737777778333268,162.84680337142538,157.34906887501154,40.711700842856345
49.089666666,1,1,1,49.089666666,49.103,49.111,49.101222222,,,1.4524444446666678,165.23867806529384,162.55331652495843,41.30966951632346
50.516333333,1,0,1,50.516333333,,50.545666666,50.5309999995,,,1.4297777775,167.85825306338558,165.3145781667016,41.964563265846394
52.009666666,0,1,1,,51.988333333,52.009666666,51.9989999995,,,1.4680000000000035,163.48773841961813,165.52822318276586,40.87193460490453
53.407,1,1,1,53.407,53.420333333,53.436333333,53.421222222000004,,,1.4222222225000039,168.74999996704057,166.69866381668143,42.18749999176014
54.801666666,1,1,1,54.801666666,54.804333333,54.828333333,54.811444443999996,,,1.3902222219999913,172.6342711273403,168.29066983799967,43.158567781835075
56.212333333,1,1,1,56.212333333,56.207,56.223,56.214111111,,,1.4026666670000054,171.10266155629623,170.8289775502257,42.77566538907406
57.617666666,1,1,1,57.599,57.609666666,57.617666666,57.60877777733333,,,1.394666666333329,172.0841300602501,171.9403542479622,43.02103251506252
58.999,1,1,1,58.977666666,58.993666666,58.999,58.99011111066667,,,1.3813333333333375,173.74517374517322,172.3106551205732,43.436293436293305
60.391,1,1,1,60.369666666,60.399,60.391,60.38655555533333,,,1.3964444446666633,171.86505407831598,172.56478596124643,42.966263519578995
61.777666666,1,1,1,61.753666666,61.775,61.777666666,61.768777777333334,,,1.3822222220000029,173.63344054238445,173.08122278862456,43.40836013559611
