2nd Level m.cycle,J2 Instances,J1 Instances,Dun Instances,Mean J2 Onsets,Mean J1 Onsets,Mean Dun Onsets,Virtual Onset,Parts,Comment,IOI,bpm,Smoothed bpm,cpm
22.671,0,1,1,,22.657666666,22.671,22.664333333000002,1.0,,,,,
24.449666667,0,1,1,,24.423,24.449666667,24.4363333335,,,1.7720000004999967,135.44018054869093,135.44018054869093,33.86004513717273
26.177666667,0,1,1,,26.172333333,26.177666667,26.175,,,1.7386666665000021,138.0368098291828,136.73849518893687,34.5092024572957
27.887,0,1,1,,27.879,27.887,27.883000000000003,,,1.708000000000002,140.51522248243543,137.99740428676972,35.12880562060886
29.601666667,0,1,1,,29.575,29.601666667,29.5883333335,,,1.705333333499997,140.734949165292,139.76232715897007,35.183737291323
31.271,0,1,1,,31.297666666,31.271,31.284333333,,,1.6959999994999997,141.50943400398276,140.91986855057007,35.37735850099569
32.956333333,0,1,1,,32.980333333,32.956333333,32.968333333000004,,,1.6840000000000046,142.51781472684047,141.5873992987051,35.62945368171012
34.644333333,0,1,1,,34.633666666,34.644333333,34.6389999995,,,1.6706666664999972,143.6552274684415,142.56082539975492,35.913806867110374
36.249666667,0,1,1,,36.271,36.249666667,36.2603333335,,,1.6213333339999991,148.02631572860767,144.7331193079632,37.00657893215192
37.873666667,0,0,1,,,37.873666667,37.873666667,,,1.6133333335000017,148.76033056314444,146.81395792006452,37.19008264078611
39.497666667,0,1,1,,39.516333333,39.497666667,39.507,,,1.633333332999996,146.93877554019195,147.90847394398136,36.73469388504799
41.089666667,0,1,1,,41.108333333,41.089666667,41.099000000000004,,,1.5920000000000059,150.75376884422056,148.81762498251896,37.68844221105514
42.695,0,1,1,,42.697666666,42.695,42.696333333,,,1.5973333329999946,150.25041739362538,149.3143205926793,37.562604348406346
44.284333333,0,1,1,,44.292333333,44.284333333,44.288333333,,,1.5919999999999987,150.7537688442212,150.58598502735572,37.6884422110553
45.852333333,0,0,1,,,45.852333333,45.852333333,,,1.564,153.4526854219949,151.48562388661384,38.36317135549872
47.439,0,0,1,,,47.439,47.439,,,1.586666667000003,151.260504169903,151.82231947870636,37.81512604247575
49.007,0,0,1,,,49.007,49.007,,,1.5679999999999978,153.06122448979613,152.59147136056467,38.26530612244903
