2nd Level m.cycle,J2 Instances,J1 Instances,Dun Instances,Mean J2 Onsets,Mean J1 Onsets,Mean Dun Onsets,Virtual Onset,Parts,Comment,IOI,bpm,Smoothed bpm,cpm
28.175,1,0,1,28.175,,28.188333333,28.1816666665,1.0,,,,,
30.521666666,1,1,1,30.521666666,30.516333333,30.508333333,30.515444444,,,2.3337777775,102.83755476371614,102.83755476371614,25.709388690929035
32.799,1,1,1,32.799,32.815,32.817666666,32.81055555533334,,,2.2951111113333376,104.5701006870089,103.70382772536252,26.142525171752226
35.073666666,1,1,1,35.073666666,35.076333333,35.081666666000004,35.077222221666666,,,2.266666666333329,105.88235295674761,104.43000280249089,26.470588239186903
37.327,1,1,1,37.327,37.327,37.313666666,37.32255555533333,,,2.2453333336666645,106.88836102926251,105.78027155767302,26.722090257315628
39.569666666,0,1,1,,39.543,39.569666666,39.556333333,,,2.233777777666667,107.44130521823722,106.73733973474911,26.860326304559305
41.777666666,1,1,1,41.783,41.775,41.777666666,41.778555555333334,,,2.222222222333336,107.99999999459986,107.44322208069985,26.999999998649965
44.028333333,1,1,1,44.031,44.031,44.028333333,44.030111111,,,2.2515555556666627,106.5929727543136,107.34475932238355,26.6482431885784
46.281666666,1,1,1,46.308333333,46.281666666,46.281666666,46.290555555,,,2.260444444000001,106.17381048096217,106.9222610766252,26.543452620240544
48.545666666,1,1,1,48.553666666,48.532333333,48.545666666,48.543888888333335,,,2.2533333333333374,106.50887573964478,106.42521965830684,26.627218934911195
50.788333333,1,1,1,50.783,50.769666666,50.788333333,50.780333332999994,,,2.2364444446666596,107.31319553782693,106.66529391947796,26.828298884456732
53.015,1,1,1,53.015,52.985666666,52.999,52.99988888866667,,,2.2195555556666733,108.12975570143492,107.31727565963554,27.03243892535873
55.183,1,1,1,55.177666666,55.177666666,55.183,55.179444444000005,,,2.1795555553333372,110.11419250714847,108.5190479154701,27.52854812678712
57.372333333,1,1,1,57.372333333,57.348333333,57.343,57.35455555533334,,,2.1751111113333366,110.33919083466073,109.5277130144147,27.58479770866518
59.521666666,1,1,1,59.521666666,59.508333333,59.513666666,59.51455555500001,,,2.159999999666667,111.11111112825787,110.52149815668902,27.77777778206447
61.695,1,1,1,61.684333333,61.679,61.695,61.686111111,,,2.171555555999994,110.51985261757707,110.65671819349855,27.629963154394268
