Section_Name,Start_Timestamp,End_Timestamp,Mode,Start_sec,End_sec,Duration,Cycle_Onsets,Cycle_Periods,Total_Cycles,total_feet_onsets
Section_1,00:02:14:18,00:03:07:16,au,134.18,187.16,52.23,"[134.706 136.94  139.148 141.324 143.511 145.708 147.852 150.01  152.156
 154.29  156.423 158.535 160.65  162.748 164.871 166.956 169.036 171.124
 173.22  175.314 177.383 179.458 181.5   183.53  185.591]","[2.234 2.208 2.176 2.187 2.197 2.144 2.158 2.146 2.134 2.133 2.112 2.115
 2.098 2.123 2.085 2.08  2.088 2.096 2.094 2.069 2.075 2.042 2.03  2.061]",24,31
Section_2,00:02:56:08,00:03:23:01,au,176.08,203.01,26.18,"[177.383 179.458 181.5   183.53  185.591 187.615 189.602 191.61  193.642
 195.668 197.682 199.676 201.698]",[2.075 2.042 2.03  2.061 2.024 1.987 2.008 2.032 2.026 2.014 1.994 2.022],12,44
Section_3,00:03:17:23,00:03:48:12,au,197.23,228.12,30.14,"[197.682 199.676 201.698 203.698 205.692 207.692 209.7   211.695 213.684
 215.695 217.674 219.69  221.666 223.599 225.556 227.527]","[1.994 2.022 2.    1.994 2.    2.008 1.995 1.989 2.011 1.979 2.016 1.976
 1.933 1.957 1.971]",15,55
Section_4,00:04:11:16,00:04:47:01,au,251.16,287.01,35.1,"[251.487 253.274 255.063 256.879 258.658 260.439 262.162 263.863 265.58
 267.306 269.039 270.775 272.522 274.263 275.964 277.708 279.444 281.191
 282.967 284.719 286.479]","[1.787 1.789 1.816 1.779 1.781 1.723 1.701 1.717 1.726 1.733 1.736 1.747
 1.741 1.701 1.744 1.736 1.747 1.776 1.752 1.76 ]",20,60
Section_5,00:04:40:16,00:05:30:04,au,280.16,330.04,49.13,"[281.191 282.967 284.719 286.479 288.234 290.002 291.788 293.548 295.316
 297.087 298.839 300.559 302.311 304.034 305.778 307.498 309.228 310.954
 312.708 314.468 316.212 317.97  319.724 321.415 323.183 324.954 326.692
 328.444]","[1.776 1.752 1.76  1.755 1.768 1.786 1.76  1.768 1.771 1.752 1.72  1.752
 1.723 1.744 1.72  1.73  1.726 1.754 1.76  1.744 1.758 1.754 1.691 1.768
 1.771 1.738 1.752]",27,62
Section_6,00:04:43:03,00:04:58:24,au,283.03,298.24,15.21,[284.719 286.479 288.234 290.002 291.788 293.548 295.316 297.087],[1.76  1.755 1.768 1.786 1.76  1.768 1.771],7,63
Section_7,00:05:26:03,00:05:46:10,au,326.03,346.1,20.06,"[326.692 328.444 330.183 331.858 333.442 335.026 336.511 337.983 339.458
 340.946 342.434 343.86  345.303]",[1.752 1.739 1.675 1.584 1.584 1.485 1.472 1.475 1.488 1.488 1.426 1.443],12,72
Section_8,00:05:28:11,00:05:46:06,au,328.11,346.06,17.2,"[328.444 330.183 331.858 333.442 335.026 336.511 337.983 339.458 340.946
 342.434 343.86  345.303]",[1.739 1.675 1.584 1.584 1.485 1.472 1.475 1.488 1.488 1.426 1.443],11,80
Section_9,00:06:02:13,00:06:18:22,au,362.13,378.22,16.09,"[362.516 363.919 365.335 366.716 368.09  369.439 370.791 372.119 373.428
 374.751 376.068 377.394]",[1.403 1.416 1.381 1.374 1.349 1.352 1.328 1.309 1.323 1.317 1.326],11,87
Section_10,00:06:02:13,00:06:18:22,au,362.13,378.22,16.09,"[362.516 363.919 365.335 366.716 368.09  369.439 370.791 372.119 373.428
 374.751 376.068 377.394]",[1.403 1.416 1.381 1.374 1.349 1.352 1.328 1.309 1.323 1.317 1.326],11,94
