Section_Name,Start_Timestamp,End_Timestamp,Mode,Start_sec,End_sec,Duration,Cycle_Onsets,Cycle_Periods,Total_Cycles,total_feet_onsets
Section_1,"00:01:05,200","00:02:17,780",au,65.2,137.78,72.58,"[ 65.578  67.748  69.903  71.988  74.063  76.047  78.015  79.999  81.9
  83.834  85.703  87.575  89.455  91.356  93.183  95.066  96.93   98.732
 100.511 102.242 104.004 105.663 107.34  109.007 110.65  112.276 113.9
 115.516 117.114 118.738 120.378 122.012 123.639 125.298 126.895 128.506
 130.095 131.647 133.191 134.671 136.191 137.714]","[2.17  2.155 2.085 2.075 1.984 1.968 1.984 1.901 1.934 1.869 1.872 1.88
 1.901 1.827 1.883 1.864 1.802 1.779 1.731 1.762 1.659 1.677 1.667 1.643
 1.626 1.624 1.616 1.598 1.624 1.64  1.634 1.627 1.659 1.597 1.611 1.589
 1.552 1.544 1.48  1.52  1.523]",41,12
Section_2,"00:02:17,780","00:02:36,180",au,137.78,156.18,18.4,"[139.276 140.839 142.386 143.954 145.482 147.031 148.588 150.154 151.69
 153.228 154.767]",[1.563 1.547 1.568 1.528 1.549 1.557 1.566 1.536 1.538 1.539],10,15
Section_3,"00:02:35,460","00:02:48,580",au,155.46,168.58,13.12,[156.298 157.783 159.258 160.727 162.186 163.644 165.076 166.554 168.02 ],[1.485 1.475 1.469 1.459 1.458 1.432 1.478 1.466],8,19
Section_4,"00:03:25,900","00:04:28,060",au,205.9,268.06,62.16,"[206.623 208.034 209.46  210.887 212.295 213.708 215.119 216.548 217.938
 219.391 220.796 222.215 223.636 225.058 226.5   227.938 229.375 230.767
 232.175 233.554 234.978 236.354 237.778 239.183 240.599 242.007 243.394
 244.802 246.186 247.596 248.964 250.359 251.732 253.108 254.487 255.85
 257.223 258.583 259.935 261.292 262.612 263.994 265.343 266.754]","[1.411 1.426 1.427 1.408 1.413 1.411 1.429 1.39  1.453 1.405 1.419 1.421
 1.422 1.442 1.438 1.437 1.392 1.408 1.379 1.424 1.376 1.424 1.405 1.416
 1.408 1.387 1.408 1.384 1.41  1.368 1.395 1.373 1.376 1.379 1.363 1.373
 1.36  1.352 1.357 1.32  1.382 1.349 1.411]",43,28
Section_5,"00:04:26,200","00:04:51,000",au,266.2,291.0,24.8,"[266.754 268.13  269.516 270.9   272.268 273.644 274.972 276.354 277.719
 279.066 280.439 281.799 283.143 284.426 285.687 286.959 288.231 289.546
 290.871]","[1.376 1.386 1.384 1.368 1.376 1.328 1.382 1.365 1.347 1.373 1.36  1.344
 1.283 1.261 1.272 1.272 1.315 1.325]",18,42
Section_6,"00:04:51,360","00:05:09,400",au,291.36,309.4,18.04,"[292.212 293.543 294.863 296.154 297.492 298.794 300.068 301.356 302.639
 303.879 305.202 306.5   307.772 309.09 ]","[1.331 1.32  1.291 1.338 1.302 1.274 1.288 1.283 1.24  1.323 1.298 1.272
 1.318]",13,47
