Section_Name,Start_Timestamp,End_Timestamp,Mode,Start_sec,End_sec,Duration,Cycle_Onsets,Cycle_Periods,Total_Cycles,total_feet_onsets
Section_1,"00:01:40,200","00:01:54,540",au,100.2,114.54,14.34,"[100.826 102.34  103.818 105.252 106.647 108.06  109.423 110.804 112.127
 113.434]",[1.514 1.478 1.434 1.395 1.413 1.363 1.381 1.323 1.307],9,3
Section_2,"00:01:41,240","00:01:53,740",au,101.24,113.74,12.5,[102.34  103.818 105.252 106.647 108.06  109.423 110.804 112.127 113.434],[1.478 1.434 1.395 1.413 1.363 1.381 1.323 1.307],8,3
Section_3,"00:01:51,640","00:02:01,460",au,111.64,121.46,9.82,[112.127 113.434 114.692 116.01  117.314 118.588 119.882 121.167],[1.307 1.258 1.318 1.304 1.274 1.294 1.285],7,9
Section_4,"00:02:16,460","00:02:37,980",au,136.46,157.98,21.52,"[137.146 138.418 139.684 140.932 142.167 143.399 144.639 145.884 147.143
 148.367 149.599 150.844 152.063 153.268 154.487 155.714 156.906]","[1.272 1.266 1.248 1.235 1.232 1.24  1.245 1.259 1.224 1.232 1.245 1.219
 1.205 1.219 1.227 1.192]",16,9
Section_5,"00:02:36,340","00:02:47,200",au,156.34,167.2,10.86,[156.906 158.095 159.314 160.53  161.73  162.914 164.09  165.298 166.484],[1.189 1.219 1.216 1.2   1.184 1.176 1.208 1.186],8,9
Section_6,"00:02:47,200","00:03:05,480",au,167.2,185.48,18.28,"[167.695 168.892 170.074 171.236 172.404 173.567 174.738 175.93  177.124
 178.298 179.492 180.676 181.847 183.026 184.204 185.407]","[1.197 1.182 1.162 1.168 1.163 1.171 1.192 1.194 1.174 1.194 1.184 1.171
 1.179 1.178 1.203]",15,15
Section_7,"00:02:47,220","00:03:05,440",au,167.22,185.44,18.22,"[167.695 168.892 170.074 171.236 172.404 173.567 174.738 175.93  177.124
 178.298 179.492 180.676 181.847 183.026 184.204 185.407]","[1.197 1.182 1.162 1.168 1.163 1.171 1.192 1.194 1.174 1.194 1.184 1.171
 1.179 1.178 1.203]",15,21
Section_8,"00:03:17,820","00:03:37,860",au,197.82,217.86,20.04,"[198.375 199.546 200.738 201.866 203.028 204.196 205.338 206.487 207.639
 208.783 209.927 211.092 212.223 213.314 214.415 215.498 216.588 217.783]","[1.171 1.192 1.128 1.162 1.168 1.142 1.149 1.152 1.144 1.144 1.165 1.131
 1.091 1.101 1.083 1.09  1.195]",17,23
Section_9,"00:03:17,860","00:03:37,260",au,197.86,217.26,19.4,"[198.375 199.546 200.738 201.866 203.028 204.196 205.338 206.487 207.639
 208.783 209.927 211.092 212.223 213.314 214.415 215.498 216.588]","[1.171 1.192 1.128 1.162 1.168 1.142 1.149 1.152 1.144 1.144 1.165 1.131
 1.091 1.101 1.083 1.09 ]",16,24
Section_10,"00:03:51,700","00:04:15,160",au,231.7,255.16,23.46,"[232.33  233.452 234.551 235.623 236.692 237.764 238.815 239.842 240.855
 241.871 242.868 243.86  244.815 245.807 246.796 247.799 248.775 249.732
 250.69  251.698 252.66  253.668 254.639]","[1.122 1.099 1.072 1.069 1.072 1.051 1.027 1.013 1.016 0.997 0.992 0.955
 0.992 0.989 1.003 0.976 0.957 0.958 1.008 0.962 1.008 0.971]",22,32
Section_11,"00:03:52,000","00:04:14,660",au,232.0,254.66,22.66,"[232.33  233.452 234.551 235.623 236.692 237.764 238.815 239.842 240.855
 241.871 242.868 243.86  244.815 245.807 246.796 247.799 248.775 249.732
 250.69  251.698 252.66  253.668 254.639]","[1.122 1.099 1.072 1.069 1.072 1.051 1.027 1.013 1.016 0.997 0.992 0.955
 0.992 0.989 1.003 0.976 0.957 0.958 1.008 0.962 1.008 0.971]",22,40
Section_12,"00:04:18,560","00:04:34,380",au,258.56,274.38,15.82,"[258.682 259.668 260.708 261.684 262.66  263.655 264.65  265.642 266.62
 267.636 268.602 269.596 270.58  271.546 272.503 273.511]","[0.986 1.04  0.976 0.976 0.995 0.995 0.992 0.978 1.016 0.966 0.994 0.984
 0.966 0.957 1.008]",15,42
Section_13,"00:04:35,400","00:04:57,300",au,275.4,297.3,21.9,"[275.471 276.476 277.444 278.412 279.37  280.298 281.26  282.178 283.124
 284.028 284.972 285.892 286.839 287.839 288.831 289.842 290.812 291.754
 292.692 293.65  294.556 295.514 296.535]","[1.005 0.968 0.968 0.958 0.928 0.962 0.918 0.946 0.904 0.944 0.92  0.947
 1.    0.992 1.011 0.97  0.942 0.938 0.958 0.906 0.958 1.021]",22,42
