Section_Name,Start_Timestamp,End_Timestamp,Mode,Start_sec,End_sec,Duration,Cycle_Onsets,Cycle_Periods,Total_Cycles,total_feet_onsets
Section_1,"00:01:55,760","00:02:15,580",au,115.76,135.58,19.82,"[116.948 118.628 120.292 121.954 123.575 125.29  126.932 128.567 130.236
 131.844 133.524 135.151]",[1.68  1.664 1.662 1.621 1.715 1.642 1.635 1.669 1.608 1.68  1.627],11,13
Section_2,"00:02:09,720","00:02:31,760",au,129.72,151.76,22.04,"[130.236 131.844 133.524 135.151 136.804 138.431 140.047 141.626 143.212
 144.778 146.383 147.948 149.554 151.13 ]","[1.608 1.68  1.627 1.653 1.627 1.616 1.579 1.586 1.566 1.605 1.565 1.606
 1.576]",13,26
Section_3,"00:02:14,080","00:02:44,220",au,134.08,164.22,30.14,"[135.151 136.804 138.431 140.047 141.626 143.212 144.778 146.383 147.948
 149.554 151.13  152.724 154.244 155.764 157.274 158.778 160.292 161.86
 163.407]","[1.653 1.627 1.616 1.579 1.586 1.566 1.605 1.565 1.606 1.576 1.594 1.52
 1.52  1.51  1.504 1.514 1.568 1.547]",18,46
Section_4,"00:03:04,820","00:03:49,920",au,184.82,229.92,45.1,"[185.148 186.719 188.22  189.684 191.167 192.615 194.148 195.668 197.172
 198.639 200.106 201.564 203.036 204.495 205.956 207.415 208.85  210.231
 211.596 212.994 214.442 215.863 217.263 218.674 220.068 221.476 222.951
 224.38  225.804 227.252 228.7  ]","[1.571 1.501 1.464 1.483 1.448 1.533 1.52  1.504 1.467 1.467 1.458 1.472
 1.459 1.461 1.459 1.435 1.381 1.365 1.398 1.448 1.421 1.4   1.411 1.394
 1.408 1.475 1.429 1.424 1.448 1.448]",30,47
