Section_Name,Start_Timestamp,End_Timestamp,Mode,Start_sec,End_sec,Duration,Cycle_Onsets,Cycle_Periods,Total_Cycles,total_feet_onsets
Section_1,"00:01:30,940","00:01:48,140",au,90.94,108.14,17.2,"[ 92.41   94.212  95.892  97.532  99.114 100.642 102.196 103.738 105.215
 106.706]",[1.802 1.68  1.64  1.582 1.528 1.554 1.542 1.477 1.491],9,0
Section_2,"00:01:48,140","00:02:19,640",au,108.14,139.64,31.5,"[108.223 109.775 111.284 112.764 114.258 115.69  117.138 118.599 120.042
 121.508 122.946 124.372 125.786 127.196 128.626 130.082 131.487 132.86
 134.194 135.506 136.81  138.143 139.538]","[1.552 1.509 1.48  1.494 1.432 1.448 1.461 1.443 1.466 1.438 1.426 1.414
 1.41  1.43  1.456 1.405 1.373 1.334 1.312 1.304 1.333 1.395]",22,7
Section_3,"00:02:19,640","00:02:47,260",au,139.64,167.26,27.62,"[140.959 142.327 143.676 145.01  146.34  147.663 148.98  150.298 151.623
 152.938 154.276 155.644 157.01  158.348 159.655 160.9   162.18  163.434
 164.682 165.93  167.178]","[1.368 1.349 1.334 1.33  1.323 1.317 1.318 1.325 1.315 1.338 1.368 1.366
 1.338 1.307 1.245 1.28  1.254 1.248 1.248 1.248]",20,18
Section_4,"00:03:21,020","00:03:33,760",au,201.02,213.76,12.74,"[201.94  202.924 203.924 204.882 205.818 206.775 207.711 208.647 209.567
 210.46  211.37  212.308 213.263]",[0.984 1.    0.958 0.936 0.957 0.936 0.936 0.92  0.893 0.91  0.938 0.955],12,18
