Section_Name,Start_Timestamp,End_Timestamp,Mode,Start_sec,End_sec,Duration,Cycle_Onsets,Cycle_Periods,Total_Cycles,total_feet_onsets
Section_1,"00:02:21,520","00:02:41,380",in,141.52,161.38,19.86,"[141.676 142.956 144.202 145.391 146.591 147.783 148.956 150.156 151.372
 152.607 153.828 155.055 156.276 157.503 158.73  159.978 161.202]","[1.28  1.246 1.189 1.2   1.192 1.173 1.2   1.216 1.235 1.221 1.227 1.221
 1.227 1.227 1.248 1.224]",16,56
Section_2,"00:02:44,455","00:02:56,944",in,164.455,176.944,12.489,"[164.831 166.066 167.223 168.434 169.61  170.818 172.018 173.239 174.431
 175.607 176.81 ]",[1.235 1.157 1.211 1.176 1.208 1.2   1.221 1.192 1.176 1.203],10,85
Section_3,"00:03:47,200","00:04:10,829",in,227.2,250.829,23.629,"[227.7   228.874 230.034 231.212 232.362 233.546 234.682 235.863 237.01
 238.21  239.335 240.524 241.647 242.794 243.943 245.079 246.218 247.364
 248.508 249.674]","[1.174 1.16  1.178 1.15  1.184 1.136 1.181 1.147 1.2   1.125 1.189 1.123
 1.147 1.149 1.136 1.139 1.146 1.144 1.166]",19,132
Section_4,"00:04:46,700","00:05:13,739",in,286.7,313.739,27.039,"[286.775 287.906 289.012 290.135 291.263 292.375 293.463 294.588 295.708
 296.823 297.911 299.055 300.13  301.258 302.319 303.436 304.538 305.634
 306.74  307.815 308.924 310.052 311.215 312.332 313.508]","[1.131 1.106 1.123 1.128 1.112 1.088 1.125 1.12  1.115 1.088 1.144 1.075
 1.128 1.061 1.117 1.102 1.096 1.106 1.075 1.109 1.128 1.163 1.117 1.176]",24,178
